
2019/1/4
----------------------------------Paramater Setting----------------------------------
Using lambdaA 0.0001 using lambdaR 0.0001 using lambdaV 0.0001 using lambdaS 0.001
using Maxiter 300 init_method random fit_method False checkpoint 1000,1100
Chemical:15076	Mutation:108023	Pathway:2363	Phenotype:7732	Genes:27165	Diseases:2665
Disease-Chemical:1310249
Disease-Mutation:54032
Disease-Pathway:150855
Disease-Phenotype:1033
Disease-Disease:1826
Gene-Chemical:507004
Gene-Mutation:116033
Gene-Pathway:135345
Gene-Phenotype:160931
Gene-Gene:379235
Gene-Disease:11224532
Disease-Gene:11224532
The shape of W: 29830*163024
The shape of X: 29830*29830*2
Initialized R
step:  77 | fit: 77.00000 | delta: 1.0e+00 | secs: 6.48002
step:  78 | fit: 78.00000 | delta: 1.0e+00 | secs: 6.56802
step:  79 | fit: 79.00000 | delta: 1.0e+00 | secs: 6.46011
step:  80 | fit: 80.00000 | delta: 1.0e+00 | secs: 6.44834
step:  81 | fit: 81.00000 | delta: 1.0e+00 | secs: 6.48640
step:  82 | fit: 82.00000 | delta: 1.0e+00 | secs: 6.47216
step:  83 | fit: 83.00000 | delta: 1.0e+00 | secs: 6.51504
step:  84 | fit: 84.00000 | delta: 1.0e+00 | secs: 6.49722
step:  85 | fit: 85.00000 | delta: 1.0e+00 | secs: 6.49916
step:  86 | fit: 86.00000 | delta: 1.0e+00 | secs: 6.47920
step:  87 | fit: 87.00000 | delta: 1.0e+00 | secs: 6.43758
step:  88 | fit: 88.00000 | delta: 1.0e+00 | secs: 6.41325
step:  89 | fit: 89.00000 | delta: 1.0e+00 | secs: 6.44720
step:  90 | fit: 90.00000 | delta: 1.0e+00 | secs: 6.46448
step:  91 | fit: 91.00000 | delta: 1.0e+00 | secs: 6.44082
step:  92 | fit: 92.00000 | delta: 1.0e+00 | secs: 6.42109
step:  93 | fit: 93.00000 | delta: 1.0e+00 | secs: 6.43362
step:  94 | fit: 94.00000 | delta: 1.0e+00 | secs: 6.64460
step:  95 | fit: 95.00000 | delta: 1.0e+00 | secs: 6.41755
step:  96 | fit: 96.00000 | delta: 1.0e+00 | secs: 6.40466
step:  97 | fit: 97.00000 | delta: 1.0e+00 | secs: 6.47563
step:  98 | fit: 98.00000 | delta: 1.0e+00 | secs: 6.46066
step:  99 | fit: 99.00000 | delta: 1.0e+00 | secs: 6.33785
step: 100 | fit: 100.00000 | delta: 1.0e+00 | secs: 6.48941
step: 101 | fit: 101.00000 | delta: 1.0e+00 | secs: 6.51239
step: 102 | fit: 102.00000 | delta: 1.0e+00 | secs: 6.49855
step: 103 | fit: 103.00000 | delta: 1.0e+00 | secs: 6.43803
step: 104 | fit: 104.00000 | delta: 1.0e+00 | secs: 6.50285
step: 105 | fit: 105.00000 | delta: 1.0e+00 | secs: 6.51758
step: 106 | fit: 106.00000 | delta: 1.0e+00 | secs: 6.55971
