label,name,c1,c2
0,MESH:D054198,11.543891,-20.163084
0,MESH:D000230,11.133506,-20.519333
0,MESH:D002051,10.199506,-20.904943
0,MESH:D002277,11.018594,-20.290293
0,MESH:D006528,11.072794,-20.135979
0,MESH:D002289,11.571257,-20.133644
0,MESH:D002971,11.02446,-20.306639
0,MESH:D002972,11.501899,-19.957994
0,MESH:D003110,11.350983,-20.40604
0,MESH:D015179,11.680509,-20.85636
0,MESH:D016889,11.2115555,-20.258568
0,MESH:D005909,11.236113,-20.07017
0,MESH:D006394,10.28294,-20.495779
0,MESH:D015470,11.186518,-19.725306
0,MESH:D008113,11.413865,-20.29487
0,MESH:D008175,11.113766,-20.707361
0,MESH:D016403,10.693141,-19.692923
0,MESH:D008527,11.427789,-19.701782
0,MESH:D009190,10.889727,-19.46682
0,MESH:D009369,11.458966,-20.18696
0,MESH:D009447,11.088407,-20.118048
0,MESH:D017599,9.029024,-19.393734
0,MESH:D012516,11.6029215,-20.301258
0,MESH:D010051,11.534175,-20.085695
0,MESH:D010190,11.111342,-20.66182
0,MESH:D010673,10.190299,-20.127995
0,MESH:D011471,11.276288,-20.755419
0,MESH:D013274,11.582858,-20.388748
0,MESH:D001749,11.260457,-20.492666
0,MESH:D002583,11.399928,-20.346933
0,MESH:D009396,12.535673,-19.866142
0,MESH:D019969,12.249798,-19.959831
0,MESH:D001008,10.366604,-19.525501
0,MESH:D001506,12.702514,-23.846504
0,MESH:D001927,11.031279,-20.079115
0,MESH:D001943,11.059963,-20.132906
0,MESH:D001651,11.006288,-22.161324
0,MESH:D019970,11.338717,-20.28916
0,MESH:D003924,11.577541,-20.809319
0,MESH:D004715,11.387959,-20.341194
0,MESH:D004827,11.211837,-20.048399
0,MESH:D020936,9.254416,-20.349987
0,MESH:D006973,11.6090975,-20.378891
0,MESH:D020244,12.007834,-20.028582
0,MESH:D007414,11.536983,-20.211752
0,MESH:D029593,16.135641,-17.89694
0,MESH:D009422,11.222267,-20.411556
0,MESH:D020258,11.346455,-20.322222
0,MESH:D012640,11.431781,-19.993786
0,MESH:D013226,11.955007,-20.770407
0,MESH:D014277,11.900266,-21.289272
0,MESH:D008223,11.814205,-20.31658
0,MESH:D008228,11.662093,-20.021683
0,MESH:C562839,11.411743,-21.572392
0,MESH:D009101,11.772842,-20.245476
0,MESH:D011225,11.897557,-19.743942
0,MESH:D029424,11.796124,-20.420996
0,MESH:D011656,11.759129,-21.408419
0,MESH:D012878,11.51714,-20.923443
0,MESH:D058186,11.060838,-20.370275
0,MESH:D018268,12.363247,-20.350044
0,MESH:D001172,11.027096,-19.928932
0,MESH:D001281,10.969999,-19.63913
0,MESH:D002318,11.272077,-20.202417
0,MESH:D004938,11.743862,-20.64374
0,MESH:D006330,11.304808,-19.097305
0,MESH:D019337,9.59203,-19.090683
0,MESH:D007676,11.201932,-20.060976
0,MESH:D007680,11.380689,-20.237741
0,MESH:D002189,10.26808,-20.458344
0,MESH:D001523,10.829072,-19.16779
0,MESH:D009503,11.134416,-20.161482
0,MESH:D010300,11.463772,-20.718184
0,MESH:D010302,12.472987,-19.301926
0,MESH:D010523,11.51761,-20.277822
0,MESH:D016649,11.685362,-19.93498
0,MESH:D013927,11.3095455,-20.551327
0,MESH:D000505,10.898342,-19.473639
0,MESH:D013734,9.957143,-21.345362
0,MESH:D001254,11.139047,-20.124908
0,MESH:D001321,10.9398775,-19.598164
0,MESH:D018567,9.637836,-19.866531
0,MESH:D016640,11.55319,-19.222765
0,MESH:D005832,11.362509,-19.283606
0,MESH:D007248,10.691437,-20.192549
0,MESH:D007938,11.632375,-19.976765
0,MESH:D050197,11.193339,-20.549585
0,MESH:D020520,12.108368,-21.064602
0,MESH:D001932,10.543045,-19.73451
0,MESH:D003092,11.184961,-20.012966
0,MESH:D003711,10.702693,-19.6105
0,MESH:D003920,11.301291,-20.329502
0,MESH:D003930,12.324051,-19.531843
0,MESH:D018149,11.223426,-20.072506
0,MESH:D006331,11.394821,-19.801939
0,MESH:D006333,11.649205,-20.153837
0,MESH:D015658,11.713832,-20.44673
0,MESH:D024821,10.832216,-19.954681
0,MESH:D019636,11.386619,-19.931137
0,MESH:D009765,11.232879,-20.326485
0,MESH:D011014,11.288567,-20.223797
0,MESH:D012164,10.5638485,-20.742918
0,MESH:D012595,13.104128,-21.050276
0,MESH:D000544,10.890993,-20.704096
0,MESH:D056735,11.558874,-22.356195
0,MESH:D002545,11.712801,-21.743298
0,MESH:D002114,11.1074705,-20.53146
0,MESH:D003093,10.756357,-20.85222
0,MESH:D003456,12.503553,-20.144571
0,MESH:D017449,11.4846325,-21.304464
0,MESH:D003877,10.805572,-21.227444
0,MESH:D003925,11.547018,-21.068645
0,MESH:D003929,11.518965,-20.500807
0,MESH:D008545,11.427457,-20.493832
0,MESH:D009203,11.429098,-20.362362
0,MESH:D012163,12.125222,-21.110704
0,MESH:D011125,11.78647,-19.993313
0,MESH:D001249,10.833656,-21.07038
0,MESH:D044584,11.900824,-19.492035
0,MESH:D021441,11.82031,-19.593603
0,MESH:D002292,11.377724,-20.423765
0,MESH:D009202,11.2468405,-20.6645
0,MESH:D015209,11.216241,-20.604492
0,MESH:D016510,13.589545,-20.904495
0,MESH:D003876,11.086837,-19.918215
0,MESH:D004833,11.231693,-19.170961
0,MESH:D018316,9.342036,-21.43569
0,MESH:D006258,10.941485,-20.254253
0,MESH:D018325,7.3608027,-19.597965
0,MESH:D006975,10.290871,-19.852505
0,MESH:D006976,11.441902,-19.960781
0,MESH:D054990,10.163998,-22.38476
0,MESH:D008607,11.247728,-20.213648
0,MESH:D007859,11.331035,-20.854437
0,MESH:D007951,11.176108,-20.304369
0,MESH:D015473,11.14099,-20.793144
0,MESH:D008103,10.81204,-20.159458
0,MESH:D008105,11.064105,-20.782507
0,MESH:D008171,11.490093,-20.50905
0,MESH:D008268,13.576947,-20.647707
0,MESH:D008269,11.618052,-20.415335
0,MESH:D008579,10.601713,-20.261993
0,MESH:D008661,9.506372,-19.668152
0,MESH:D008831,11.589967,-19.228605
0,MESH:D009133,11.960721,-20.285164
0,MESH:D010003,11.991218,-20.85105
0,MESH:D010009,11.142341,-22.916235
0,MESH:D011507,11.49153,-20.358982
0,MESH:D016715,10.913528,-21.347898
0,MESH:D011565,12.053676,-20.783653
0,MESH:D011605,11.255288,-19.878244
0,MESH:D012170,9.0706835,-20.401533
0,MESH:D012208,10.201569,-20.411417
0,MESH:D012559,11.186009,-20.494043
0,MESH:D012751,13.4604025,-23.787315
0,MESH:D013276,11.316835,-20.742002
0,MESH:D013964,11.380624,-20.628763
0,MESH:D014571,11.594741,-20.279884
0,MESH:D000067877,10.76312,-19.585178
0,MESH:D001606,11.363169,-23.136667
0,MESH:D002341,11.820546,-19.200815
0,MESH:D003328,10.493053,-19.093227
0,MESH:D008288,11.711663,-21.331385
0,MESH:D013915,12.651395,-22.060843
0,MESH:D013920,12.7718725,-21.684792
0,MESH:D013921,11.117958,-19.701298
0,MESH:D013922,12.054024,-18.791368
0,MESH:D000140,11.178122,-19.411257
0,MESH:D000236,10.766326,-19.534927
0,MESH:D000542,11.920756,-17.87488
0,MESH:D000690,10.571018,-21.247366
0,MESH:D000740,11.288511,-20.840942
0,MESH:D000743,10.830829,-20.156057
0,MESH:D000756,8.743739,-19.422802
0,MESH:D017544,11.1222925,-19.817917
0,MESH:D001018,10.7564125,-19.66001
0,MESH:D015535,12.082737,-21.376324
0,MESH:D001195,11.160761,-21.754124
0,MESH:D001238,11.538205,-21.329159
0,MESH:D001778,10.613852,-20.318295
0,MESH:D001929,10.801439,-20.609175
0,MESH:D001982,9.629925,-21.640947
0,MESH:D018270,10.960589,-20.420967
0,MESH:D002311,11.455746,-19.978308
0,MESH:D002340,12.361024,-21.698048
0,MESH:C538280,11.491636,-21.561806
0,MESH:D002493,11.449582,-19.422707
0,MESH:D018281,11.528023,-20.869125
0,MESH:D002779,11.247119,-19.86678
0,MESH:D003323,16.045986,-20.91556
0,MESH:D003872,10.860716,-19.699602
0,MESH:D004381,13.215215,-20.411016
0,MESH:D020345,12.534472,-21.069263
0,MESH:D004941,15.411809,-18.401096
0,MESH:D000075222,16.207842,-19.796486
0,MESH:D055577,13.347921,-22.581512
0,MESH:D018589,9.445789,-23.201344
0,MESH:D005923,13.738065,-19.936115
0,MESH:D006463,11.781161,-19.954569
0,MESH:D006504,11.919105,-19.842943
0,MESH:D006530,10.63027,-22.901625
0,MESH:D006548,11.895984,-20.836418
0,MESH:D006943,11.153962,-20.11525
0,MESH:D006946,10.734667,-20.118752
