label,name,c1,c2
0,MESH:D000140,-38.30244,-73.68693
1,1794,20.561037,8.612883
1,23382,11.665736,30.28602
1,9662,-71.69597,-28.126856
1,84749,14.532891,21.372168
1,55367,51.621826,23.381744
1,11119,24.919743,43.92932
1,619505,-17.195452,-46.971004
1,222537,-9.090321,14.024044
1,84891,3.6399794,0.33840314
1,285367,11.299498,29.897854
1,55435,41.019825,58.85083
1,7976,-17.139116,-6.725765
1,102466721,33.76707,-51.262035
1,5906,30.683659,32.394142
1,100033813,17.514105,-54.533012
1,22983,-20.315868,-53.17256
1,54458,-58.996456,3.7445183
1,254439,-20.406496,-46.50576
1,5255,-7.583203,20.17985
1,6911,25.2058,54.184544
1,10024,-46.45779,-20.118788
1,57144,-51.885506,-44.316154
1,345611,-23.877174,61.522453
1,26230,38.85834,23.183435
1,794,52.574165,-8.725979
1,56675,42.415787,-0.21613936
1,84888,-79.06776,-17.313229
1,94161,-8.468052,76.14295
1,401014,-0.77895653,-56.736088
1,146956,-1.953519,11.125254
1,9329,15.855392,-12.516633
1,3885,-25.547323,24.935612
1,340529,6.718046,-57.24109
1,57649,-59.62373,13.907655
1,6240,59.146866,11.382257
1,7042,76.804474,50.996597
1,155382,-30.078741,-44.503292
1,7298,74.47601,46.15624
1,84303,-37.927,13.30184
1,407019,-9.576165,23.61518
1,64963,4.3498287,52.47784
1,5095,-65.487114,-2.1689339
1,54084,-4.907409,61.622818
1,164592,-0.24862663,4.4066787
1,51306,-57.514362,4.717964
1,100036563,12.964425,-55.545776
1,51249,-40.226143,8.810436
1,6725,7.000372,-5.5577993
1,7153,81.322296,35.27517
1,138649,-52.946926,-56.907513
1,645528,11.806213,-56.38063
1,79870,40.28696,50.698574
1,135932,6.438133,-33.33368
1,10713,5.164935,53.39393
1,5209,71.063354,8.00008
1,23478,-34.80638,31.572016
1,23270,29.944677,15.931073
1,2525,-2.2781255,-36.889065
1,677776,1.3865236,-62.692375
1,10553,-71.09342,-28.980177
1,3128,8.293531,73.59794
1,677775,-42.850365,60.33855
1,100132923,-0.8613516,69.71627
1,220047,-9.236839,-12.403026
1,79751,-18.426758,-8.790616
1,1622,51.69892,-6.856197
1,6305,-27.673677,24.017345
1,79632,37.8079,8.772817
1,26103,-3.9587436,-11.385442
1,4729,61.559917,24.19753
1,100506696,-0.5923825,-59.49791
1,10430,19.054401,20.851538
1,2049,42.361717,0.7932495
1,9833,59.509056,11.232537
1,90507,-60.40749,1.0662516
1,4121,-73.71294,-27.748953
1,57630,-65.92816,-6.098668
1,388564,-5.1555634,-8.8382
1,3021,-18.647755,-14.462594
1,9093,-54.07607,18.930157
1,10667,-36.34963,16.336435
1,4247,61.509193,30.89517
1,8858,23.462202,3.7492394
1,55700,-30.295614,15.037191
1,389,65.75644,8.94633
1,706,67.1192,4.92326
1,57524,39.820625,57.47255
1,10130,54.42335,4.7040415
1,10195,28.718138,-11.680557
1,401145,31.70274,61.156357
1,1572,16.526329,76.464264
1,3617,-35.151234,-52.159103
1,4627,66.68677,15.445571
1,1381,35.27481,52.04591
1,84807,-8.657639,-5.244262
1,100132463,44.056084,-35.906364
1,2766,29.878428,15.120196
1,347088,-9.820239,39.972775
1,23362,-7.2666264,-17.652594
1,118426,-51.206955,4.307184
1,117283,24.36105,-13.280169
1,286464,-7.4882154,-51.039074
1,57631,-4.0837183,26.980667
1,653489,2.2561443,-59.78195
1,6238,-39.39092,-22.735373
1,92609,2.4413266,-33.955467
1,54995,-53.29765,6.469503
1,6404,-63.048897,2.7412999
1,79134,31.557755,58.38139
1,84885,0.132736,-2.5061872
1,7584,25.211079,65.24659
1,90990,-56.87771,6.2745996
1,23581,36.59976,55.8374
1,1439,47.41617,25.488155
1,256979,-42.707115,-58.65464
1,29960,38.93712,49.355347
1,440955,-24.730919,-61.57459
1,79624,2.696321,22.817745
1,54887,20.136253,8.333521
1,148534,15.991484,14.20598
1,654429,-29.712507,-59.827393
1,677766,-13.154889,-12.479721
1,55657,22.243078,54.5193
1,92922,-29.284668,30.121902
1,80313,39.623764,49.27373
1,6654,29.607815,23.567894
1,53831,-9.36484,48.990864
1,100133545,6.4148846,-66.23672
1,85415,43.328674,19.257788
1,23421,53.339394,46.24343
1,2628,25.960155,-19.686499
1,57691,-31.421793,-54.840115
1,9472,11.484851,6.3230863
1,57003,6.454223,33.720154
1,80157,-5.784554,-4.494537
1,1643,38.876785,22.55384
1,54622,3.9841387,44.529594
1,57459,-56.255962,3.8023474
1,283458,25.398825,-56.59646
1,114132,11.224093,-58.87123
1,9169,-23.628454,-23.658827
1,91137,-63.106155,-25.586782
1,1390,80.79405,34.77
1,92610,-47.56639,-29.25701
1,285954,22.047726,-45.5717
1,163742,15.626434,-53.26323
1,9501,-30.39834,-11.593929
1,275,-62.37132,-31.1883
1,23788,-50.316677,-16.356258
1,25812,-1.3555331,-70.68487
1,5609,12.725667,20.55159
1,162989,14.301949,52.307617
1,5587,44.470177,34.232056
1,89858,-37.2302,-47.29444
1,79789,47.608086,-1.9579719
1,1590,41.097095,-17.453867
1,2006,58.08729,46.552303
1,55173,9.754109,-34.610134
1,93134,-0.65391314,7.569309
1,259230,-18.126118,-23.391714
1,148979,-16.893465,54.609028
1,10816,-3.235703,-49.393276
1,5348,-74.93718,-13.526419
1,401827,-45.922302,-40.372417
1,2996,-9.644055,76.52209
1,90523,31.953558,-4.1203117
1,27148,-0.59398544,33.257404
1,389136,-35.52748,-0.6761882
1,1902,58.45541,14.584838
1,7700,-14.504485,-41.474174
1,7132,73.46791,52.17405
1,92822,-11.665908,-10.721641
1,160777,-51.002136,-47.890614
1,9087,-5.544919,-6.0618014
1,133874,-46.230686,-54.76954
1,51031,49.12782,36.98643
1,56109,-45.616806,-41.054916
1,90135,-54.94167,27.422508
1,8788,59.604504,-0.6377915
1,51050,-23.939945,48.879837
1,51634,-22.401367,51.688526
1,6192,-41.008007,42.433174
1,10089,19.382393,61.090546
1,6500,-44.76031,29.79491
1,7267,-61.62361,-21.278885
1,10238,-32.05761,23.655573
1,9110,10.712033,34.730343
1,101926904,37.849476,-54.841606
1,254531,4.46838,50.191345
1,55038,-37.10837,-13.217546
1,6834,9.008661,-20.164965
1,54346,-47.599125,-40.240013
1,1192,62.212257,31.704798
1,8520,-40.59798,-20.396198
1,649446,-21.556887,-54.338993
1,84539,-12.791997,-63.017937
1,91689,-27.390919,-63.22314
1,285598,19.981976,-31.084837
1,56104,-42.48614,-54.499798
1,2323,-42.40435,26.057716
1,25957,-41.922188,-27.587263
1,10451,7.7035217,-18.967394
1,8799,43.291496,33.238842
1,9046,27.307617,12.53569
1,83853,-60.809586,14.408619
1,84440,-34.63971,33.345905
1,6484,-21.776152,-26.245243
1,158358,3.7799342,7.630405
1,10072,-46.406124,-1.9878253
1,8663,39.080563,26.97772
1,55081,-47.390305,-29.615904
1,5266,20.621864,60.950893
1,6529,-22.572693,-9.953038
1,127428,-25.109789,-32.99199
1,219854,29.345644,14.748516
1,4548,68.51261,23.221922
1,858,50.011913,-4.7490335
1,51244,35.94454,55.059875
1,2213,71.271614,19.402771
1,123688,18.051998,34.289898
1,23057,-42.465206,27.68017
1,26984,30.586712,8.698927
1,5269,54.854023,46.92995
1,79611,38.39067,3.576414
1,7798,15.183462,40.275753
1,55596,26.710537,53.302193
1,55660,-67.55383,-0.83917415
1,127002,11.562748,-38.71521
1,545,47.430122,3.0476246
1,116236,-35.853004,-0.2214924
1,26777,-20.822655,-32.949757
1,7776,-14.334859,31.88936
1,203,60.322784,13.379572
1,6094,12.156531,31.062584
1,9750,-55.918957,-30.909458
1,3093,-14.02155,-27.995285
1,79814,11.427368,26.694239
1,7625,-17.409145,-40.526363
1,990,75.74203,6.8444104
1,197335,-54.321125,-6.3920517
1,101669762,5.7877636,-51.849323
1,285905,21.549063,-43.64502
1,57146,-37.339554,-6.7285695
1,102,-23.854841,-22.267471
1,55035,-4.4056883,-23.68867
1,9150,-9.737661,13.397319
1,8450,44.32414,30.96565
1,3747,-12.977311,8.758949
1,84253,11.217596,24.949121
1,406946,18.735472,76.93968
1,2697,76.62553,51.213013
1,6530,58.936028,42.309265
1,154215,3.2407467,-8.540021
1,55355,-60.714687,-9.203932
1,23379,19.371916,-34.300583
1,80759,-11.619402,-69.50017
1,7138,-50.897163,-20.714994
1,728591,-12.908826,-65.034134
1,282890,-5.880169,67.89953
1,51428,35.24776,53.540947
1,79691,21.200592,45.162933
1,386677,-8.373022,-63.538235
1,145447,-9.863954,40.621964
1,100191039,18.982983,-51.071835
1,5866,16.90968,-37.05574
1,164312,-30.676203,32.516487
1,64840,-50.77683,21.242289
1,152641,1.652859,-48.243122
1,56478,-6.548546,26.01811
1,8703,-31.134375,-14.89047
1,2906,53.573082,47.427097
1,440556,-8.498877,-60.860218
1,5715,-29.366755,-4.5007086
1,83448,-31.231398,16.636858
1,196383,38.288067,3.4940848
1,94005,11.906846,24.517778
1,55142,-1.3226048,43.084274
1,54606,-3.5275786,41.049347
1,4050,58.982677,28.4667
1,894,80.39638,23.160473
1,5880,59.09883,-4.078911
1,10755,49.268982,22.139639
1,83982,-26.347794,41.681206
1,54556,-60.802177,-8.598818
1,284340,-9.275446,-0.1973015
1,391194,9.264804,-50.621952
1,159013,-2.8930416,18.193905
1,138311,50.64693,44.2928
1,2222,80.0159,35.23196
1,8270,27.185066,54.02993
1,4110,-27.467669,-60.3235
1,6822,68.5322,28.807545
1,65005,-24.741413,48.830444
1,155,57.92368,46.43238
1,1234,67.398834,45.1425
1,9821,11.772888,31.591576
1,219927,-0.3970765,-38.34426
1,84879,-29.188429,-18.04033
1,83463,-75.80132,-13.836149
1,4815,30.297256,6.876062
1,9887,14.99035,7.8898373
1,144108,-48.325195,-25.283379
1,81875,22.63095,54.941975
1,1174,47.509045,28.02007
1,1445,46.521503,3.1745608
1,5165,-14.2715435,-24.139132
1,7562,-45.512955,-41.655277
1,83697,-7.2494698,72.060776
1,7098,55.79265,3.3371875
1,100505967,18.635056,-44.984882
1,64333,43.537537,53.242245
1,57690,16.473919,-37.158237
1,347516,-27.111126,-52.128075
1,56140,-4.645672,-62.35236
1,114915,-66.19382,2.2788079
1,57820,32.212914,2.1825743
1,105371027,-79.56161,3.858216
1,153768,28.669456,58.0622
1,729121,5.229779,-52.267345
1,10205,10.274958,48.292927
1,29988,-64.662224,-6.6250196
1,9905,-36.45492,2.3094332
1,153657,-17.382523,-65.75164
1,54926,-70.04828,2.9540663
1,84911,-16.021221,-46.766155
1,11017,16.401827,-16.741692
1,54748,11.696679,82.15688
1,64411,29.783457,13.46133
1,27145,23.50822,44.18917
1,10780,-51.69137,-55.113037
1,80020,-6.1887336,-22.327404
1,5524,-9.409254,20.982355
1,7364,67.40091,44.868935
1,10897,47.50021,27.607256
1,29092,11.8268385,7.765421
1,23236,64.36253,14.419137
1,79694,46.69551,14.895698
1,8811,-11.940311,25.774586
1,57182,15.697781,4.118148
1,23498,-22.945568,-3.6395018
1,57575,19.29975,-30.937794
1,1102,-62.11611,-29.024555
1,9388,54.012245,-6.7472987
1,118461,-27.825104,-52.468903
1,63826,35.86618,-7.396297
1,9860,-13.081345,-11.759118
1,9963,51.143517,41.60364
1,9855,13.6847315,14.589631
1,9266,21.211395,45.35451
1,6434,-9.352008,-21.964888
1,135,75.26983,40.733963
1,51309,-77.37466,-21.82735
1,127845,-2.402257,56.965557
1,4301,0.34036982,2.1870403
1,57369,46.446167,59.152935
1,826,51.62503,-8.35584
1,374819,-4.7756777,65.33346
1,55066,17.953074,-5.618129
1,10169,31.318924,53.001804
1,51363,-6.752516,-25.578897
1,640,-17.537739,32.074368
1,57060,-60.459995,13.92455
1,84705,-17.513296,30.27482
1,983,73.79896,54.01774
1,58491,-51.387375,-45.225037
1,9724,-7.3869486,-11.559237
1,90871,-42.14766,27.236736
1,6447,15.500235,-22.312384
1,255758,9.454244,-9.166096
1,7351,81.043175,24.340097
1,6161,51.06189,24.836721
1,3177,49.15175,22.206446
1,144501,-29.228191,-15.179798
1,5089,47.56463,3.5836549
1,388753,8.845783,-30.646996
1,51015,-46.421284,-18.587482
1,79652,-36.84225,20.685917
1,644873,-51.126842,-39.482895
1,57515,-77.45385,-16.52171
1,64446,-42.433754,-44.286377
1,376497,53.297405,-2.8409352
1,1030,61.893196,19.92266
1,25836,-38.890285,9.309274
1,51099,56.697704,17.509657
1,55703,34.114956,1.355417
1,728882,-45.31686,50.12747
1,5268,46.28402,-0.56728613
1,10342,20.57741,59.916447
1,221937,17.38982,-33.18709
1,25920,11.840701,16.221125
1,8682,-13.295425,-30.034828
1,114881,-74.77697,-6.4852486
1,5795,-16.565504,-21.238708
1,8834,14.522767,-7.7095714
1,10808,77.67374,38.118458
1,4736,-22.292809,-25.023735
1,6668,-21.843538,57.79843
1,79711,-40.147865,-10.950299
1,5173,70.64298,38.387985
1,80852,41.248943,56.314823
